date,product_id,product_name,category,price,cost,impressions,visitors,product_clicks,add_to_cart,orders,units_sold,sales_amount,ad_spend,refund_units,inventory,rating
2026-04-06,P005,复古印花T恤,T恤,199.0,63.0,4532,449,376,93,19,22,4261.29,757.03,0,1288,4.2
2026-04-06,P006,轻量羽绒服,羽绒服,899.0,382.0,3877,566,406,101,14,15,12381.74,2019.97,2,564,4.5
2026-04-06,P007,水洗牛仔裤,牛仔裤,429.0,168.0,4589,370,279,75,12,12,5032.61,799.21,2,862,4.6
2026-04-06,P008,机能运动鞋,运动鞋,599.0,236.0,3474,300,231,68,17,20,11273.3,3332.57,0,718,4.4
2026-04-06,P009,城市斜挎包,斜挎包,289.0,96.0,5982,647,487,126,32,38,10630.85,1613.22,2,1062,4.6
2026-04-06,P010,刺绣棒球帽,棒球帽,159.0,48.0,3839,268,221,54,11,13,1887.84,539.1,2,1325,4.9
2026-04-07,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2393,341,232,51,19,22,14546.71,4425.17,0,666,4.3
2026-04-07,P002,云白防晒衣,防晒衣,399.0,148.0,4103,503,370,76,14,15,5659.27,837.96,1,942,4.6
2026-04-07,P003,卡其工装裤,工装裤,459.0,176.0,2424,325,251,48,14,15,6432.41,1537.1,0,794,4.5
2026-04-07,P004,灰色连帽卫衣,卫衣,329.0,122.0,2681,263,179,41,13,15,4578.81,1085.93,1,1001,4.7
2026-04-07,P005,复古印花T恤,T恤,199.0,63.0,3191,339,268,60,9,9,1678.54,500.99,2,1279,4.7
2026-04-07,P006,轻量羽绒服,羽绒服,899.0,382.0,4842,623,461,104,18,21,18050.02,4095.94,1,543,4.0
2026-04-07,P007,水洗牛仔裤,牛仔裤,429.0,168.0,4695,513,354,74,23,25,10576.04,1736.84,2,837,4.3
2026-04-07,P008,机能运动鞋,运动鞋,599.0,236.0,3065,346,296,69,15,17,10023.52,1842.73,1,701,4.8
2026-04-07,P009,城市斜挎包,斜挎包,289.0,96.0,5563,523,424,93,13,13,3672.78,657.07,0,1049,4.6
2026-04-07,P010,刺绣棒球帽,棒球帽,159.0,48.0,5426,425,339,85,20,21,3167.34,795.15,0,1304,4.5
2026-04-08,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2450,341,248,66,15,18,12005.79,2458.86,1,648,4.7
2026-04-08,P002,云白防晒衣,防晒衣,399.0,148.0,3936,380,279,51,22,26,9640.68,1503.28,2,916,4.4
2026-04-08,P003,卡其工装裤,工装裤,459.0,176.0,3355,437,297,73,21,21,8876.13,2089.75,0,773,4.4
2026-04-08,P004,灰色连帽卫衣,卫衣,329.0,122.0,3210,234,195,51,7,8,2562.55,606.7,0,993,4.6
2026-04-08,P005,复古印花T恤,T恤,199.0,63.0,3258,347,284,52,13,15,2789.4,803.58,1,1264,4.8
2026-04-08,P006,轻量羽绒服,羽绒服,899.0,382.0,4773,435,341,70,16,17,14281.56,3510.4,2,526,4.3
2026-04-08,P007,水洗牛仔裤,牛仔裤,429.0,168.0,4421,493,378,71,26,31,12761.31,3542.23,0,806,4.6
2026-04-08,P008,机能运动鞋,运动鞋,599.0,236.0,5173,480,384,96,12,12,6649.05,1045.99,0,689,4.5
2026-04-08,P009,城市斜挎包,斜挎包,289.0,96.0,4277,487,421,119,14,15,4236.16,967.47,1,1034,4.6
2026-04-08,P010,刺绣棒球帽,棒球帽,159.0,48.0,6057,692,547,143,20,22,3192.68,529.53,0,1282,4.4
2026-04-09,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2686,225,189,43,8,8,5459.72,1564.17,2,640,4.3
2026-04-09,P002,云白防晒衣,防晒衣,399.0,148.0,3993,422,275,58,22,25,9333.42,2663.5,0,891,4.9
2026-04-09,P003,卡其工装裤,工装裤,459.0,176.0,4453,361,304,65,13,15,6466.18,1424.63,2,758,4.6
2026-04-09,P004,灰色连帽卫衣,卫衣,329.0,122.0,3522,340,257,48,10,10,3057.08,585.17,0,983,4.2
2026-04-09,P005,复古印花T恤,T恤,199.0,63.0,3027,255,205,42,9,10,1912.99,305.68,1,1254,4.5
2026-04-09,P006,轻量羽绒服,羽绒服,899.0,382.0,3740,302,222,52,17,19,16361.61,3782.41,0,507,4.6
2026-04-09,P007,水洗牛仔裤,牛仔裤,429.0,168.0,4886,644,461,80,37,39,16284.54,2828.45,0,767,4.9
2026-04-09,P008,机能运动鞋,运动鞋,599.0,236.0,5070,607,433,85,21,25,13898.48,2701.53,2,664,4.5
2026-04-09,P009,城市斜挎包,斜挎包,289.0,96.0,5669,625,441,76,30,33,9378.09,2210.75,1,1001,4.3
2026-04-09,P010,刺绣棒球帽,棒球帽,159.0,48.0,3294,281,189,55,9,10,1548.39,269.34,2,1272,4.5
2026-04-10,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2634,321,263,45,18,18,11554.6,2349.02,1,622,4.5
2026-04-10,P002,云白防晒衣,防晒衣,399.0,148.0,3972,414,268,43,18,21,8181.73,1259.84,2,870,4.4
2026-04-10,P003,卡其工装裤,工装裤,459.0,176.0,4419,505,398,74,14,15,6464.87,1259.16,0,743,4.7
2026-04-10,P004,灰色连帽卫衣,卫衣,329.0,122.0,4210,565,380,83,32,38,12308.32,3070.03,1,945,4.3
2026-04-10,P005,复古印花T恤,T恤,199.0,63.0,3653,422,325,80,19,22,4286.87,707.45,2,1232,4.4
2026-04-10,P006,轻量羽绒服,羽绒服,899.0,382.0,3052,288,212,53,13,14,11542.84,2774.77,0,493,4.5
2026-04-10,P007,水洗牛仔裤,牛仔裤,429.0,168.0,4762,485,385,73,24,25,10494.84,1684.4,1,742,4.6
2026-04-10,P008,机能运动鞋,运动鞋,599.0,236.0,5738,782,505,141,21,23,12777.05,2410.02,0,641,4.4
2026-04-10,P009,城市斜挎包,斜挎包,289.0,96.0,4951,659,503,114,30,31,8555.12,2527.73,2,970,4.4
2026-04-10,P010,刺绣棒球帽,棒球帽,159.0,48.0,5571,432,358,73,15,18,2749.17,724.26,2,1254,4.6
2026-04-11,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2577,179,143,37,9,10,6477.98,1530.88,0,612,4.7
2026-04-11,P002,云白防晒衣,防晒衣,399.0,148.0,3222,462,301,54,14,14,5200.48,802.79,0,856,4.6
2026-04-11,P003,卡其工装裤,工装裤,459.0,176.0,2991,328,212,61,10,10,4248.33,1216.21,1,733,4.3
2026-04-11,P004,灰色连帽卫衣,卫衣,329.0,122.0,5054,630,512,135,26,31,9794.75,1781.68,1,914,4.4
2026-04-11,P005,复古印花T恤,T恤,199.0,63.0,5022,611,473,83,15,15,2847.8,436.47,2,1217,4.7
2026-04-11,P006,轻量羽绒服,羽绒服,899.0,382.0,3202,340,277,51,8,8,6810.03,1360.76,0,485,4.6
2026-04-11,P007,水洗牛仔裤,牛仔裤,429.0,168.0,6028,787,557,142,29,32,12871.96,2840.42,2,710,4.8
2026-04-11,P008,机能运动鞋,运动鞋,599.0,236.0,4865,603,444,119,29,32,18795.94,2774.85,1,609,4.4
2026-04-11,P009,城市斜挎包,斜挎包,289.0,96.0,6875,926,604,134,39,40,11346.99,1846.12,2,930,4.7
2026-04-11,P010,刺绣棒球帽,棒球帽,159.0,48.0,4915,476,381,81,15,17,2524.52,528.55,0,1237,4.4
2026-04-12,P001,黑色冲锋衣,冲锋衣,699.0,285.0,3157,283,184,30,8,8,5332.12,1058.86,0,604,4.8
2026-04-12,P002,云白防晒衣,防晒衣,399.0,148.0,3863,503,380,84,22,22,8298.78,1386.51,0,834,4.3
2026-04-12,P003,卡其工装裤,工装裤,459.0,176.0,3487,430,347,87,16,19,8324.24,1622.33,0,714,4.6
2026-04-12,P004,灰色连帽卫衣,卫衣,329.0,122.0,4084,345,297,62,9,10,2994.66,926.27,1,904,4.5
2026-04-12,P005,复古印花T恤,T恤,199.0,63.0,4299,628,441,97,36,43,8302.37,1892.06,1,1174,4.7
2026-04-12,P006,轻量羽绒服,羽绒服,899.0,382.0,4206,504,363,102,26,30,26246.79,3962.03,0,455,4.4
2026-04-12,P007,水洗牛仔裤,牛仔裤,429.0,168.0,4185,568,423,97,21,24,10099.68,3021.35,0,686,4.4
2026-04-12,P008,机能运动鞋,运动鞋,599.0,236.0,4161,548,434,87,16,17,9450.07,2682.54,2,592,4.7
2026-04-12,P009,城市斜挎包,斜挎包,289.0,96.0,5904,662,521,143,23,27,7127.97,2076.03,2,903,4.4
2026-04-12,P010,刺绣棒球帽,棒球帽,159.0,48.0,5973,532,352,94,21,24,3523.2,1035.21,0,1213,4.6
2026-04-13,P001,黑色冲锋衣,冲锋衣,699.0,285.0,3962,365,254,72,14,16,10985.5,3373.06,1,588,4.6
2026-04-13,P002,云白防晒衣,防晒衣,399.0,148.0,4203,471,347,72,20,22,8563.31,2628.35,1,812,4.7
2026-04-13,P003,卡其工装裤,工装裤,459.0,176.0,4169,495,403,75,28,28,12545.24,3544.73,0,686,4.5
2026-04-13,P004,灰色连帽卫衣,卫衣,329.0,122.0,3182,303,214,34,17,18,5522.14,900.13,2,886,4.7
2026-04-13,P005,复古印花T恤,T恤,199.0,63.0,4354,285,248,68,8,8,1468.17,260.86,1,1166,4.4
2026-04-13,P006,轻量羽绒服,羽绒服,899.0,382.0,4849,489,375,101,15,17,14918.8,4367.42,2,438,4.6
2026-04-13,P007,水洗牛仔裤,牛仔裤,429.0,168.0,4497,675,440,78,37,40,16148.36,3481.72,2,646,4.5
2026-04-13,P008,机能运动鞋,运动鞋,599.0,236.0,3160,406,327,79,11,12,6749.02,1553.58,2,580,4.7
2026-04-13,P009,城市斜挎包,斜挎包,289.0,96.0,3241,320,220,53,9,10,2732.06,815.76,1,893,4.5
2026-04-13,P010,刺绣棒球帽,棒球帽,159.0,48.0,3524,424,312,55,14,16,2326.76,399.54,2,1197,4.2
2026-04-14,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2214,237,178,43,8,8,5239.01,918.2,1,580,4.4
2026-04-14,P002,云白防晒衣,防晒衣,399.0,148.0,3185,215,185,44,10,10,3746.36,781.81,1,802,4.2
2026-04-14,P003,卡其工装裤,工装裤,459.0,176.0,3222,421,302,67,22,22,9986.65,2542.27,0,664,4.5
2026-04-14,P004,灰色连帽卫衣,卫衣,329.0,122.0,2622,375,244,62,21,22,6946.93,1567.26,2,864,4.3
2026-04-14,P005,复古印花T恤,T恤,199.0,63.0,2835,433,296,70,17,17,3172.57,484.33,1,1149,4.7
2026-04-14,P006,轻量羽绒服,羽绒服,899.0,382.0,4382,496,372,65,16,17,14263.77,4176.68,0,421,4.4
2026-04-14,P007,水洗牛仔裤,牛仔裤,429.0,168.0,4857,592,462,92,15,18,7372.57,1398.74,2,628,4.7
2026-04-14,P008,机能运动鞋,运动鞋,599.0,236.0,4593,472,328,88,19,19,10545.14,2002.73,0,561,4.4
2026-04-14,P009,城市斜挎包,斜挎包,289.0,96.0,4577,426,311,67,25,28,7931.95,1451.03,0,865,4.4
2026-04-14,P010,刺绣棒球帽,棒球帽,159.0,48.0,3757,469,354,67,13,13,1976.34,457.63,0,1184,4.5
2026-04-15,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2966,282,216,40,13,15,9636.66,1490.79,1,565,4.0
2026-04-15,P002,云白防晒衣,防晒衣,399.0,148.0,4099,466,397,74,21,23,8588.85,1337.8,2,779,4.9
2026-04-15,P003,卡其工装裤,工装裤,459.0,176.0,3914,258,217,45,11,12,5106.7,822.24,0,652,4.4
2026-04-15,P004,灰色连帽卫衣,卫衣,329.0,122.0,4916,389,305,88,21,24,7386.63,1453.58,0,840,4.6
2026-04-15,P005,复古印花T恤,T恤,199.0,63.0,4011,455,362,74,25,27,5264.42,891.81,1,1122,4.3
2026-04-15,P006,轻量羽绒服,羽绒服,899.0,382.0,4942,417,275,45,15,18,14827.26,3262.86,1,403,4.7
2026-04-15,P007,水洗牛仔裤,牛仔裤,429.0,168.0,5059,602,515,100,35,39,15237.24,2672.8,0,589,4.5
2026-04-15,P008,机能运动鞋,运动鞋,599.0,236.0,5618,640,457,105,24,26,14312.06,3773.35,0,535,4.9
2026-04-15,P009,城市斜挎包,斜挎包,289.0,96.0,3801,515,367,92,20,24,6365.06,1518.86,1,841,4.6
2026-04-15,P010,刺绣棒球帽,棒球帽,159.0,48.0,4348,558,410,67,26,26,3981.86,1122.09,2,1158,4.9
2026-04-16,P001,黑色冲锋衣,冲锋衣,699.0,285.0,3340,262,210,54,13,15,10088.94,2287.15,2,550,4.5
2026-04-16,P002,云白防晒衣,防晒衣,399.0,148.0,2941,234,204,54,9,9,3302.17,894.62,2,770,4.7
2026-04-16,P003,卡其工装裤,工装裤,459.0,176.0,3502,379,277,51,19,20,9058.89,2035.41,1,632,4.4
2026-04-16,P004,灰色连帽卫衣,卫衣,329.0,122.0,4741,453,340,73,16,19,5704.96,905.02,1,821,4.3
2026-04-16,P005,复古印花T恤,T恤,199.0,63.0,3512,239,206,51,7,7,1373.37,331.87,1,1115,4.4
2026-04-16,P006,轻量羽绒服,羽绒服,899.0,382.0,4451,422,363,75,21,23,19516.47,4404.81,0,380,4.4
2026-04-16,P007,水洗牛仔裤,牛仔裤,429.0,168.0,3447,305,249,73,16,18,7286.32,1256.38,0,571,4.6
2026-04-16,P008,机能运动鞋,运动鞋,599.0,236.0,5283,541,354,102,20,23,13268.09,2272.53,2,512,4.9
2026-04-16,P009,城市斜挎包,斜挎包,289.0,96.0,5995,698,531,148,26,26,6911.78,1806.65,0,815,4.8
2026-04-16,P010,刺绣棒球帽,棒球帽,159.0,48.0,6234,645,456,133,27,32,4679.0,691.32,2,1126,4.7
2026-04-17,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2373,259,210,50,12,12,8158.25,1646.64,2,538,4.4
2026-04-17,P002,云白防晒衣,防晒衣,399.0,148.0,3043,257,224,63,6,6,2366.71,385.63,1,764,4.6
2026-04-17,P003,卡其工装裤,工装裤,459.0,176.0,3551,480,339,83,17,18,7654.04,1618.28,2,614,4.4
2026-04-17,P004,灰色连帽卫衣,卫衣,329.0,122.0,4253,358,251,63,9,9,2893.45,741.66,1,812,4.6
2026-04-17,P005,复古印花T恤,T恤,199.0,63.0,5060,581,496,115,31,35,6756.2,1045.71,0,1080,4.5
2026-04-17,P006,轻量羽绒服,羽绒服,899.0,382.0,5190,437,326,54,23,27,24001.28,3901.72,2,353,4.7
2026-04-17,P007,水洗牛仔裤,牛仔裤,429.0,168.0,3939,588,386,115,15,17,7123.56,2224.58,0,554,4.7
2026-04-17,P008,机能运动鞋,运动鞋,599.0,236.0,3213,375,301,60,11,13,7376.44,1501.68,0,499,4.9
2026-04-17,P009,城市斜挎包,斜挎包,289.0,96.0,5948,742,523,119,21,23,6078.16,1452.22,1,792,4.2
2026-04-17,P010,刺绣棒球帽,棒球帽,159.0,48.0,3782,468,392,69,25,28,4073.66,789.35,2,1098,4.4
2026-04-18,P001,黑色冲锋衣,冲锋衣,699.0,285.0,4010,423,283,46,14,16,10329.69,1934.07,0,522,4.2
2026-04-18,P002,云白防晒衣,防晒衣,399.0,148.0,3126,324,241,43,15,15,5590.88,1509.58,1,749,4.4
2026-04-18,P003,卡其工装裤,工装裤,459.0,176.0,2886,224,163,30,5,5,2186.52,328.49,0,609,4.5
2026-04-18,P004,灰色连帽卫衣,卫衣,329.0,122.0,5339,481,335,58,15,17,5096.55,1297.36,2,795,4.8
2026-04-18,P005,复古印花T恤,T恤,199.0,63.0,5439,691,561,102,24,28,5082.97,1040.29,1,1052,4.4
2026-04-18,P006,轻量羽绒服,羽绒服,899.0,382.0,4619,590,411,85,34,37,32907.66,6948.68,1,316,4.5
2026-04-18,P007,水洗牛仔裤,牛仔裤,429.0,168.0,6424,830,606,174,47,50,21020.4,5968.71,0,504,4.5
2026-04-18,P008,机能运动鞋,运动鞋,599.0,236.0,6387,601,407,69,20,23,12588.35,2117.27,0,476,4.7
2026-04-18,P009,城市斜挎包,斜挎包,289.0,96.0,5295,439,294,73,14,16,4405.44,878.46,0,776,5.0
2026-04-18,P010,刺绣棒球帽,棒球帽,159.0,48.0,6436,625,521,155,17,18,2704.05,420.92,2,1080,4.4
2026-04-19,P001,黑色冲锋衣,冲锋衣,699.0,285.0,3827,336,275,71,10,11,7366.56,1847.48,1,511,4.8
2026-04-19,P002,云白防晒衣,防晒衣,399.0,148.0,4753,370,304,90,12,12,4711.35,700.09,0,737,4.7
2026-04-19,P003,卡其工装裤,工装裤,459.0,176.0,3303,340,296,78,17,19,8457.67,1868.75,1,590,4.5
2026-04-19,P004,灰色连帽卫衣,卫衣,329.0,122.0,3933,460,363,92,23,26,8264.48,2108.91,0,769,4.6
2026-04-19,P005,复古印花T恤,T恤,199.0,63.0,5916,544,461,134,14,14,2646.1,826.26,2,1038,4.7
2026-04-19,P006,轻量羽绒服,羽绒服,899.0,382.0,3888,571,404,118,21,21,17370.34,3953.19,2,295,4.3
2026-04-19,P007,水洗牛仔裤,牛仔裤,429.0,168.0,6470,829,637,177,25,27,11423.8,2095.12,1,477,4.7
2026-04-19,P008,机能运动鞋,运动鞋,599.0,236.0,4355,673,446,96,36,38,21803.04,3477.82,2,438,4.7
2026-04-19,P009,城市斜挎包,斜挎包,289.0,96.0,5111,441,301,86,15,16,4401.58,836.65,1,760,4.6
2026-04-19,P010,刺绣棒球帽,棒球帽,159.0,48.0,3868,319,266,46,11,13,2010.57,397.85,0,1067,4.4
2026-04-20,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2737,269,175,44,14,15,9835.87,1694.28,1,496,4.7
2026-04-20,P002,云白防晒衣,防晒衣,399.0,148.0,4494,388,277,71,20,21,8060.23,2460.38,2,716,4.7
2026-04-20,P003,卡其工装裤,工装裤,459.0,176.0,4372,497,404,100,21,21,9214.91,2037.95,1,569,4.8
2026-04-20,P004,灰色连帽卫衣,卫衣,329.0,122.0,3268,335,266,53,8,8,2450.26,482.94,0,761,4.7
2026-04-20,P005,复古印花T恤,T恤,199.0,63.0,4555,503,353,83,12,13,2487.36,711.34,0,1025,4.6
2026-04-20,P006,轻量羽绒服,羽绒服,899.0,382.0,5120,466,392,114,25,30,26530.5,4641.88,2,265,4.4
2026-04-20,P007,水洗牛仔裤,牛仔裤,429.0,168.0,4594,407,271,67,24,27,10605.04,3007.71,0,450,4.7
2026-04-20,P008,机能运动鞋,运动鞋,599.0,236.0,5862,476,374,84,23,26,14628.2,2857.0,0,412,4.6
2026-04-20,P009,城市斜挎包,斜挎包,289.0,96.0,5484,553,400,78,16,19,5052.25,1041.89,0,741,4.6
2026-04-20,P010,刺绣棒球帽,棒球帽,159.0,48.0,3902,373,242,71,11,11,1637.5,293.61,2,1056,4.6
2026-04-21,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2466,202,150,38,10,10,6792.06,1252.56,1,486,4.6
2026-04-21,P002,云白防晒衣,防晒衣,399.0,148.0,3737,263,212,61,7,8,3065.85,478.84,0,708,4.3
2026-04-21,P003,卡其工装裤,工装裤,459.0,176.0,2666,274,220,43,14,15,6443.62,1691.59,0,554,4.4
2026-04-21,P004,灰色连帽卫衣,卫衣,329.0,122.0,3822,386,294,78,10,11,3327.23,834.43,2,750,4.5
2026-04-21,P005,复古印花T恤,T恤,199.0,63.0,3129,230,190,52,9,9,1672.57,303.01,0,1016,4.5
2026-04-21,P006,轻量羽绒服,羽绒服,899.0,382.0,4572,610,446,104,34,38,33051.6,5405.43,1,227,4.7
2026-04-21,P007,水洗牛仔裤,牛仔裤,429.0,168.0,5366,632,486,137,31,36,14129.48,2308.76,0,414,4.3
2026-04-21,P008,机能运动鞋,运动鞋,599.0,236.0,3715,490,382,109,25,28,16274.5,4144.79,0,384,4.5
2026-04-21,P009,城市斜挎包,斜挎包,289.0,96.0,3891,501,408,106,24,25,7110.05,1164.59,1,716,4.3
2026-04-21,P010,刺绣棒球帽,棒球帽,159.0,48.0,6369,954,636,169,25,27,4144.71,745.47,1,1029,4.7
2026-04-22,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2826,190,155,38,7,8,5448.47,804.71,0,478,4.5
2026-04-22,P002,云白防晒衣,防晒衣,399.0,148.0,3175,313,247,41,17,18,6929.31,1641.6,1,690,4.9
2026-04-22,P003,卡其工装裤,工装裤,459.0,176.0,3699,275,204,44,14,15,6435.45,1422.96,2,539,4.7
2026-04-22,P004,灰色连帽卫衣,卫衣,329.0,122.0,3037,355,299,76,12,13,3896.74,1148.29,2,737,4.6
2026-04-22,P005,复古印花T恤,T恤,199.0,63.0,5095,423,280,51,22,24,4490.89,783.42,1,992,4.7
2026-04-22,P006,轻量羽绒服,羽绒服,899.0,382.0,3965,336,280,49,12,14,12037.4,2382.55,1,213,4.6
2026-04-22,P007,水洗牛仔裤,牛仔裤,429.0,168.0,5264,419,364,107,14,16,6294.32,1869.62,1,398,4.8
